"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Jan to Mar 2019,Govia Thameslink Railway,"3,363,162",71.6,87.4,98.7,"12,673,040",69.1,85.4,98.5
Apr to Jun 2019,Govia Thameslink Railway,"3,493,703",75.5,90.0,99.0,"13,181,624",71.1,86.9,98.7
Jul to Sep 2019,Govia Thameslink Railway,"3,558,556",71.6,87.3,98.7,"13,567,626",71.4,87.2,98.8
Oct to Dec 2019,Govia Thameslink Railway,"3,454,808",65.7,83.8,98.6,"13,870,229",71.1,87.1,98.7
Jan to Mar 2020,Govia Thameslink Railway,"3,354,395",70.7,86.5,98.7,"13,861,462",70.9,86.9,98.7
Apr to Jun 2020,Govia Thameslink Railway,"2,703,626",87.8,95.9,99.6,"13,071,384",73.1,87.9,98.8
Jul to Sep 2020,Govia Thameslink Railway,"3,184,068",80.2,92.2,99.2,"12,696,896",75.3,89.2,99.0
Oct to Dec 2020,Govia Thameslink Railway,"3,156,134",75.1,90.1,99.2,"12,398,223",78.0,90.9,99.1
Jan to Mar 2021,Govia Thameslink Railway,"2,930,879",78.2,91.2,99.2,"11,974,707",80.1,92.2,99.3
Apr to Jun 2021,Govia Thameslink Railway,"2,967,293",79.4,92.2,99.3,"12,238,374",78.2,91.4,99.2
Jul to Sep 2021,Govia Thameslink Railway,"2,873,100",75.5,89.6,98.8,"11,927,406",77.1,90.8,99.1
Oct to Dec 2021,Govia Thameslink Railway,"2,863,403",71.5,87.7,98.9,"11,634,675",76.2,90.2,99.1
Jan to Mar 2022,Govia Thameslink Railway,"2,671,929",72.9,88.1,98.8,"11,375,725",74.9,89.5,98.9
Apr to Jun 2022,Govia Thameslink Railway,"2,790,517",75.1,89.0,98.7,"11,198,949",73.8,88.6,98.8
Jul to Sep 2022,Govia Thameslink Railway,"2,850,464",67.4,83.8,97.8,"11,176,313",71.7,87.1,98.6
Oct to Dec 2022,Govia Thameslink Railway,"2,670,891",62.7,81.2,97.9,"10,983,802",69.5,85.5,98.3
Jan to Mar 2023,Govia Thameslink Railway,"2,825,636",68.2,85.0,98.3,"11,137,508",68.4,84.8,98.2
Apr to Jun 2023,Govia Thameslink Railway,"2,844,332",72.8,87.9,98.6,"11,191,323",67.9,84.5,98.2
Jul to Sep 2023,Govia Thameslink Railway,"2,832,284",70.6,86.8,98.6,"11,173,143",68.7,85.3,98.4
Oct to Dec 2023,Govia Thameslink Railway,"2,942,536",64.5,82.5,98.0,"11,444,787",69.0,85.6,98.4
Jan to Mar 2024,Govia Thameslink Railway,"3,049,005",67.6,84.8,98.4,"11,668,156",68.8,85.5,98.4
Apr to Jun 2024,Govia Thameslink Railway,"3,072,963",70.5,86.4,98.3,"11,896,788",68.3,85.1,98.4
Jul to Sep 2024,Govia Thameslink Railway,"3,296,158",68.5,85.0,98.1,"12,360,662",67.8,84.7,98.2
Oct to Dec 2024,Govia Thameslink Railway,"3,114,339",64.9,82.8,98.0,"12,532,465",67.9,84.7,98.2
Jan to Mar 2025,Govia Thameslink Railway,"3,192,567",68.7,85.8,98.5,"12,676,028",68.2,85.0,98.2
Apr to Jun 2025 [p],Govia Thameslink Railway,"3,283,444",69.7,86.3,98.5,"12,886,509",68.0,85.0,98.3
Jul to Sep 2025 [p],Govia Thameslink Railway,"3,310,934",67.5,84.7,98.3,"12,901,285",67.7,84.9,98.3
Apr to Jun 2014,Grand Central,"10,751",56.3,76.2,95.8,"41,316",52.5,71.3,92.8
Jul to Sep 2014,Grand Central,"11,438",55.2,75.6,95.4,"43,039",53.6,73.0,93.6
Oct to Dec 2014,Grand Central,"11,023",47.8,69.2,94.8,"44,267",54.0,73.9,94.9
Jan to Mar 2015,Grand Central,"11,105",59.5,78.9,97.4,"44,318",54.7,75.0,95.9
Apr to Jun 2015,Grand Central,"11,553",60.0,79.4,96.2,"45,120",55.7,75.8,95.9
Jul to Sep 2015,Grand Central,"11,637",54.7,75.7,95.9,"45,319",55.5,75.8,96.1
Oct to Dec 2015,Grand Central,"11,218",46.4,67.8,93.6,"45,513",55.2,75.5,95.8
Jan to Mar 2016,Grand Central,"11,061",54.2,74.1,94.4,"45,469",53.9,74.3,95.0
Apr to Jun 2016,Grand Central,"11,436",55.7,75.2,94.9,"45,352",52.8,73.2,94.7
Jul to Sep 2016,Grand Central,"11,558",55.0,73.5,94.0,"45,273",52.9,72.7,94.2
Oct to Dec 2016,Grand Central,"11,320",47.4,67.0,94.1,"45,375",53.1,72.5,94.4
Jan to Mar 2017,Grand Central,"10,803",53.5,74.1,94.9,"45,117",52.9,72.5,94.5
Apr to Jun 2017,Grand Central,"11,337",52.1,73.6,96.3,"45,018",52.0,72.1,94.8
Jul to Sep 2017,Grand Central,"11,412",53.2,74.3,95.4,"44,872",51.5,72.3,95.2
Oct to Dec 2017,Grand Central,"10,937",45.5,67.5,94.6,"44,489",51.1,72.4,95.3
Jan to Mar 2018,Grand Central,"10,605",50.4,69.5,92.5,"44,291",50.4,71.3,94.8
Apr to Jun 2018,Grand Central,"11,078",48.6,67.5,92.1,"44,032",49.5,69.8,93.7
Jul to Sep 2018,Grand Central,"10,987",46.1,64.5,90.9,"43,606",47.7,67.2,92.5
Oct to Dec 2018,Grand Central,"11,190",47.9,65.7,93.5,"43,859",48.3,66.8,92.2
Jan to Mar 2019,Grand Central,"11,666",55.7,72.2,94.5,"44,920",49.7,67.6,92.8
Apr to Jun 2019,Grand Central,"12,033",54.2,71.5,93.5,"45,875",51.1,68.6,93.1
Jul to Sep 2019,Grand Central,"11,542",48.4,67.6,92.3,"46,430",51.6,69.3,93.4
Oct to Dec 2019,Grand Central,"11,302",44.3,62.8,91.9,"46,543",50.7,68.6,93.1
Jan to Mar 2020,Grand Central,"10,023",50.3,70.2,94.2,"44,900",49.3,68.0,92.9
Apr to Jun 2020,Grand Central [note 1],192,82.3,94.8,100.0,"33,059",47.8,66.9,92.8
Jul to Sep 2020,Grand Central [note 1],"5,903",70.4,86.5,97.1,"27,420",52.4,70.8,93.9
Oct to Dec 2020,Grand Central [note 1],"6,486",67.5,84.7,96.8,"22,604",60.8,78.8,95.7
Jan to Mar 2021,Grand Central [note 1],994,72.3,87.4,96.4,"13,575",69.3,85.8,96.9
Apr to Jun 2021,Grand Central,"8,304",69.1,86.6,98.1,"21,687",69.1,86.0,97.4
Jul to Sep 2021,Grand Central,"10,133",57.6,78.6,95.5,"25,917",64.3,83.0,96.7
Oct to Dec 2021,Grand Central,"10,569",48.1,70.4,93.4,"30,000",57.9,78.2,95.5
Jan to Mar 2022,Grand Central,"11,134",53.9,75.2,93.7,"40,140",56.5,77.1,95.0
Apr to Jun 2022,Grand Central,"11,518",51.6,72.3,94.1,"43,353",52.7,74.0,94.1
Jul to Sep 2022,Grand Central,"12,121",48.2,68.1,90.3,"45,341",50.5,71.4,92.8
Oct to Dec 2022,Grand Central,"10,726",39.9,58.8,88.6,"45,499",48.5,68.7,91.7
Jan to Mar 2023,Grand Central,"10,538",47.8,66.9,92.1,"44,902",47.0,66.7,91.3
Apr to Jun 2023,Grand Central,"11,503",49.6,68.5,90.4,"44,888",46.5,65.7,90.3
Jul to Sep 2023,Grand Central,"11,172",43.0,62.9,90.2,"43,939",45.1,64.3,90.3
Oct to Dec 2023,Grand Central,"11,892",37.5,56.0,88.0,"45,104",44.4,63.5,90.1
Jan to Mar 2024,Grand Central,"11,557",46.1,66.2,91.6,"46,124",44.0,63.4,90.1
Apr to Jun 2024,Grand Central,"13,415",48.4,70.0,93.9,"48,036",43.9,64.0,91.0
Jul to Sep 2024,Grand Central,"13,425",44.5,64.9,90.4,"50,289",44.3,64.5,91.1
Oct to Dec 2024,Grand Central,"12,530",42.4,62.4,90.3,"50,927",45.4,65.9,91.6
Jan to Mar 2025,Grand Central,"12,204",46.9,67.3,92.4,"51,574",45.6,66.2,91.8
Apr to Jun 2025 [p],Grand Central,"13,138",47.4,67.3,92.0,"51,297",45.3,65.5,91.3
Jul to Sep 2025 [p],Grand Central,"13,512",46.2,64.8,90.6,"51,384",45.7,65.5,91.3
Apr to Jun 2014,Great Western Railway,"910,799",59.3,80.2,98.0,"3,651,753",56.2,76.9,97.1
Jul to Sep 2014,Great Western Railway,"915,229",56.2,77.6,97.5,"3,606,252",56.1,76.8,97.1
Oct to Dec 2014,Great Western Railway,"870,443",51.2,72.4,96.8,"3,563,863",56.1,76.9,97.3
Jan to Mar 2015,Great Western Railway,"885,513",63.0,82.3,98.2,"3,581,984",57.4,78.2,97.6
Apr to Jun 2015,Great Western Railway,"894,616",60.8,80.9,98.0,"3,565,801",57.8,78.3,97.6
Jul to Sep 2015,Great Western Railway,"902,771",57.9,79.1,97.8,"3,553,343",58.3,78.7,97.7
Oct to Dec 2015,Great Western Railway,"894,430",55.5,76.4,97.5,"3,577,329",59.3,79.7,97.9
Jan to Mar 2016,Great Western Railway,"890,116",64.2,83.2,98.2,"3,581,932",59.6,79.9,97.9
Apr to Jun 2016,Great Western Railway,"911,739",63.2,82.5,98.1,"3,599,054",60.2,80.3,97.9
Jul to Sep 2016,Great Western Railway,"920,467",56.4,77.1,97.3,"3,616,751",59.8,79.8,97.8
Oct to Dec 2016,Great Western Railway,"886,192",54.0,74.4,96.9,"3,608,513",59.4,79.3,97.6
Jan to Mar 2017,Great Western Railway,"911,508",62.3,81.5,98.2,"3,629,906",59.0,78.9,97.6
Apr to Jun 2017,Great Western Railway,"922,087",59.9,79.2,97.3,"3,640,254",58.2,78.1,97.4
Jul to Sep 2017,Great Western Railway,"934,417",56.1,76.0,97.3,"3,654,204",58.1,77.8,97.4
Oct to Dec 2017,Great Western Railway,"895,309",53.5,73.0,96.2,"3,663,321",58.0,77.4,97.2
Jan to Mar 2018,Great Western Railway,"897,795",61.4,78.6,97.0,"3,649,608",57.7,76.7,96.9
Apr to Jun 2018,Great Western Railway,"905,073",56.7,74.2,95.9,"3,632,594",56.9,75.5,96.6
Jul to Sep 2018,Great Western Railway,"905,071",55.9,73.2,96.0,"3,603,248",56.9,74.8,96.3
Oct to Dec 2018,Great Western Railway,"875,426",58.3,75.6,96.6,"3,583,365",58.1,75.4,96.4
Jan to Mar 2019,Great Western Railway,"899,649",69.0,84.7,98.2,"3,585,219",60.0,76.9,96.7
Apr to Jun 2019,Great Western Railway,"937,622",70.7,85.7,98.3,"3,617,769",63.6,79.9,97.3
Jul to Sep 2019,Great Western Railway,"947,348",67.0,82.9,97.8,"3,660,046",66.3,82.3,97.8
Oct to Dec 2019,Great Western Railway,"899,909",64.0,80.3,97.4,"3,684,528",67.7,83.4,98.0
Jan to Mar 2020,Great Western Railway,"840,347",65.4,81.8,97.2,"3,625,226",66.8,82.7,97.7
Apr to Jun 2020,Great Western Railway,"542,673",87.0,95.0,99.3,"3,230,277",69.1,83.9,97.8
Jul to Sep 2020,Great Western Railway,"746,877",79.1,91.2,98.8,"3,029,806",72.2,86.1,98.1
Oct to Dec 2020,Great Western Railway,"825,098",76.1,89.8,98.8,"2,954,995",75.8,88.8,98.4
Jan to Mar 2021,Great Western Railway,"812,458",81.4,92.5,98.9,"2,927,105",80.3,91.9,98.9
Apr to Jun 2021,Great Western Railway,"939,037",75.0,88.8,98.4,"3,323,468",77.7,90.5,98.7
Jul to Sep 2021,Great Western Railway,"963,527",68.3,83.9,97.6,"3,540,119",74.9,88.6,98.4
Oct to Dec 2021,Great Western Railway,"1,009,158",67.4,83.5,97.5,"3,724,179",72.6,86.9,98.1
Jan to Mar 2022,Great Western Railway,"987,636",72.9,87.1,97.9,"3,899,358",70.8,85.8,97.8
Apr to Jun 2022,Great Western Railway,"1,032,510",68.8,84.2,97.5,"3,992,831",69.3,84.7,97.6
Jul to Sep 2022,Great Western Railway,"996,912",61.2,78.1,96.2,"4,026,217",67.6,83.2,97.3
Oct to Dec 2022,Great Western Railway,"900,474",59.1,76.5,96.0,"3,917,532",65.7,81.6,96.9
Jan to Mar 2023,Great Western Railway,"940,217",64.8,81.2,96.9,"3,870,113",63.6,80.1,96.7
Apr to Jun 2023,Great Western Railway,"971,567",62.7,79.0,96.3,"3,809,170",62.0,78.7,96.4
Jul to Sep 2023,Great Western Railway,"1,002,100",59.9,76.8,95.9,"3,814,357",61.7,78.4,96.3
Oct to Dec 2023,Great Western Railway,"992,285",56.4,73.5,94.7,"3,906,169",60.9,77.6,95.9
Jan to Mar 2024,Great Western Railway,"1,007,088",61.5,77.9,96.0,"3,973,040",60.1,76.8,95.7
Apr to Jun 2024,Great Western Railway,"1,047,384",64.2,80.8,97.0,"4,048,857",60.6,77.3,95.9
Jul to Sep 2024,Great Western Railway,"1,064,021",60.2,77.4,96.3,"4,110,779",60.6,77.5,96.0
Oct to Dec 2024,Great Western Railway,"1,001,992",56.2,73.8,95.5,"4,120,486",60.6,77.5,96.2
Jan to Mar 2025,Great Western Railway,"1,030,845",65.3,82.0,97.3,"4,144,243",61.5,78.5,96.6
Apr to Jun 2025 [p],Great Western Railway,"1,077,092",64.9,81.5,97.2,"4,173,951",61.7,78.7,96.6
Jul to Sep 2025 [p],Great Western Railway,"1,081,076",59.1,76.7,96.3,"4,191,006",61.4,78.5,96.6
Apr to Jun 2014,Greater Anglia,"760,834",70.2,88.7,99.1,"2,993,318",67.0,86.7,99.0
Jul to Sep 2014,Greater Anglia,"775,567",67.7,86.7,98.8,"2,999,644",66.7,86.3,98.9
Oct to Dec 2014,Greater Anglia,"753,140",62.0,83.5,98.9,"3,032,098",66.7,86.4,99.0
Jan to Mar 2015,Greater Anglia,"731,627",68.9,87.6,99.2,"3,021,168",67.2,86.6,99.0
Apr to Jun 2015,Greater Anglia,"755,999",68.9,87.5,98.9,"3,016,332",66.9,86.3,98.9
Jul to Sep 2015,Greater Anglia,"764,610",65.4,85.7,98.9,"3,005,375",66.3,86.1,99.0
Oct to Dec 2015,Greater Anglia,"739,121",60.9,82.2,98.4,"2,991,356",66.0,85.8,98.9
Jan to Mar 2016,Greater Anglia,"725,410",65.9,86.2,98.9,"2,985,139",65.3,85.4,98.8
Apr to Jun 2016,Greater Anglia,"756,210",69.0,88.0,98.9,"2,985,350",65.3,85.6,98.8
Jul to Sep 2016,Greater Anglia,"771,112",64.5,85.3,98.8,"2,991,852",65.1,85.5,98.8
Oct to Dec 2016,Greater Anglia,"742,489",57.1,80.0,98.4,"2,995,220",64.1,84.9,98.8
Jan to Mar 2017,Greater Anglia,"760,357",65.7,86.0,98.8,"3,030,167",64.1,84.9,98.7
Apr to Jun 2017,Greater Anglia,"803,719",67.4,87.0,98.9,"3,077,677",63.8,84.6,98.7
Jul to Sep 2017,Greater Anglia,"826,353",65.7,86.3,99.0,"3,132,918",64.1,84.9,98.8
Oct to Dec 2017,Greater Anglia,"781,673",60.1,82.3,98.8,"3,172,102",64.8,85.4,98.9
Jan to Mar 2018,Greater Anglia,"729,778",61.9,83.6,98.6,"3,141,523",63.9,84.8,98.8
Apr to Jun 2018,Greater Anglia,"801,007",65.1,85.6,99.0,"3,138,811",63.3,84.5,98.8
Jul to Sep 2018,Greater Anglia,"809,105",62.1,83.2,98.5,"3,121,563",62.3,83.7,98.7
Oct to Dec 2018,Greater Anglia,"770,372",58.1,80.4,98.6,"3,110,262",61.8,83.2,98.7
Jan to Mar 2019,Greater Anglia,"750,182",70.6,88.3,99.0,"3,130,666",63.9,84.3,98.8
Apr to Jun 2019,Greater Anglia,"798,311",75.8,91.5,99.4,"3,127,970",66.6,85.8,98.9
Jul to Sep 2019,Greater Anglia,"822,979",68.8,87.6,99.0,"3,141,844",68.4,87.0,99.0
Oct to Dec 2019,Greater Anglia,"802,565",64.5,84.7,98.8,"3,174,037",69.9,88.0,99.1
Jan to Mar 2020,Greater Anglia,"771,001",70.6,86.7,98.8,"3,194,856",69.9,87.6,99.0
Apr to Jun 2020,Greater Anglia,"667,440",90.7,96.6,99.6,"3,063,985",72.9,88.6,99.0
Jul to Sep 2020,Greater Anglia,"845,311",85.5,94.8,99.5,"3,086,318",77.4,90.5,99.2
Oct to Dec 2020,Greater Anglia,"820,294",81.9,93.5,99.3,"3,104,046",82.0,92.8,99.3
Jan to Mar 2021,Greater Anglia,"704,899",85.0,94.1,99.3,"3,037,944",85.6,94.7,99.4
Apr to Jun 2021,Greater Anglia,"772,762",86.5,95.2,99.5,"3,143,266",84.7,94.4,99.4
Jul to Sep 2021,Greater Anglia,"832,626",86.2,94.8,99.4,"3,130,581",84.9,94.4,99.4
Oct to Dec 2021,Greater Anglia,"833,796",83.3,93.8,99.4,"3,144,083",85.2,94.4,99.4
Jan to Mar 2022,Greater Anglia,"724,622",87.6,95.2,99.4,"3,163,806",85.8,94.7,99.4
Apr to Jun 2022,Greater Anglia,"776,702",87.4,95.2,99.5,"3,167,745",86.1,94.7,99.4
Jul to Sep 2022,Greater Anglia,"756,706",80.3,91.6,99.1,"3,091,826",84.6,93.9,99.3
Oct to Dec 2022,Greater Anglia,"715,965",74.7,89.5,99.0,"2,973,995",82.6,92.9,99.2
Jan to Mar 2023,Greater Anglia,"741,137",84.0,93.6,99.4,"2,990,510",81.7,92.5,99.3
Apr to Jun 2023,Greater Anglia,"785,049",87.7,94.8,99.3,"2,998,857",81.8,92.4,99.2
Jul to Sep 2023,Greater Anglia,"793,971",87.2,94.7,99.5,"3,036,122",83.6,93.2,99.3
Oct to Dec 2023,Greater Anglia,"795,482",84.2,93.4,99.2,"3,115,639",85.8,94.1,99.4
Jan to Mar 2024,Greater Anglia,"801,956",85.8,94.4,99.4,"3,176,458",86.2,94.3,99.3
Apr to Jun 2024,Greater Anglia,"824,423",87.2,94.9,99.4,"3,215,832",86.1,94.3,99.4
Jul to Sep 2024,Greater Anglia,"858,985",85.6,94.4,99.3,"3,280,847",85.7,94.3,99.3
Oct to Dec 2024,Greater Anglia,"840,906",82.8,92.8,99.2,"3,326,271",85.3,94.1,99.3
Jan to Mar 2025,Greater Anglia,"824,076",83.8,93.6,99.3,"3,348,391",84.8,93.9,99.3
Apr to Jun 2025 [p],Greater Anglia,"867,205",83.4,93.4,99.3,"3,391,173",83.9,93.5,99.3
Jul to Sep 2025 [p],Greater Anglia,"882,868",78.3,90.8,99.1,"3,415,056",82.0,92.6,99.2
Apr to Jun 2014,Heathrow Express,"37,701",81.4,93.8,99.8,"153,502",80.3,93.3,99.7
Jul to Sep 2014,Heathrow Express,"38,899",82.9,94.6,99.7,"152,659",80.3,93.3,99.7
Oct to Dec 2014,Heathrow Express,"36,712",76.5,90.1,99.4,"151,895",80.9,93.2,99.7
Jan to Mar 2015,Heathrow Express,"37,257",81.6,92.6,99.7,"150,568",80.7,92.8,99.6
Apr to Jun 2015,Heathrow Express,"38,216",81.1,92.9,99.6,"151,083",80.6,92.6,99.6
Jul to Sep 2015,Heathrow Express,"39,384",80.0,92.4,99.5,"151,568",79.9,92.0,99.5
Oct to Dec 2015,Heathrow Express,"35,775",78.3,90.9,99.6,"150,632",80.3,92.2,99.6
Jan to Mar 2016,Heathrow Express,"35,944",82.1,93.5,99.7,"149,319",80.4,92.4,99.6
Apr to Jun 2016,Heathrow Express,"36,555",70.8,88.8,99.4,"147,658",77.8,91.4,99.5
Jul to Sep 2016,Heathrow Express,"39,197",79.9,92.3,99.7,"147,472",77.8,91.4,99.6
Oct to Dec 2016,Heathrow Express,"35,605",73.7,88.4,99.5,"147,302",76.7,90.8,99.6
Jan to Mar 2017,Heathrow Express,"37,768",72.7,88.5,99.3,"149,125",74.4,89.5,99.5
Apr to Jun 2017,Heathrow Express,"38,554",76.0,90.6,99.7,"151,124",75.6,90.0,99.5
Jul to Sep 2017,Heathrow Express,"40,485",80.1,93.1,99.8,"152,412",75.7,90.3,99.6
Oct to Dec 2017,Heathrow Express,"38,339",72.8,88.4,99.3,"155,146",75.5,90.2,99.5
Jan to Mar 2018,Heathrow Express,"37,596",77.9,91.1,99.6,"154,975",76.7,90.8,99.6
Apr to Jun 2018,Heathrow Express,"39,100",74.0,88.9,99.3,"155,521",76.2,90.4,99.5
Jul to Sep 2018,Heathrow Express,"40,727",80.4,92.6,99.8,"155,762",76.3,90.3,99.5
Oct to Dec 2018,Heathrow Express,"37,290",77.1,90.3,99.6,"154,713",77.4,90.7,99.6
Jan to Mar 2019,Heathrow Express,"39,191",83.8,93.7,99.7,"156,308",78.8,91.4,99.6
Apr to Jun 2019,Heathrow Express,"40,258",86.5,95.0,99.8,"157,466",82.0,92.9,99.7
Jul to Sep 2019,Heathrow Express,"40,745",85.9,94.5,99.7,"157,485",83.4,93.4,99.7
Oct to Dec 2019,Heathrow Express,"39,237",86.4,94.7,99.8,"159,432",85.6,94.5,99.8
Jan to Mar 2020,Heathrow Express,"37,319",82.2,93.0,99.7,"157,559",85.3,94.3,99.8
Apr to Jun 2020,Heathrow Express,"20,303",94.9,98.1,99.9,"137,604",86.4,94.7,99.8
Jul to Sep 2020,Heathrow Express,"20,830",92.7,97.5,99.9,"117,688",87.7,95.2,99.8
Oct to Dec 2020,Heathrow Express,"20,066",87.3,94.8,99.6,"98,517",88.1,95.4,99.8
Jan to Mar 2021,Heathrow Express,"25,464",82.5,90.0,98.9,"86,663",89.0,94.8,99.5
Apr to Jun 2021,Heathrow Express,"38,373",85.6,92.6,99.4,"104,733",86.6,93.4,99.4
Jul to Sep 2021,Heathrow Express,"39,860",85.6,93.3,99.3,"123,763",85.2,92.6,99.3
Oct to Dec 2021,Heathrow Express,"38,593",84.6,93.3,99.3,"142,291",84.8,92.5,99.3
Jan to Mar 2022,Heathrow Express,"38,075",80.9,92.2,99.4,"154,902",84.2,92.9,99.3
Apr to Jun 2022,Heathrow Express,"37,984",81.3,92.5,99.4,"154,513",83.1,92.9,99.4
Jul to Sep 2022,Heathrow Express,"37,325",76.4,89.7,99.2,"151,977",80.8,92.0,99.3
Oct to Dec 2022,Heathrow Express,"34,664",78.8,91.1,99.4,"148,048",79.4,91.4,99.4
Jan to Mar 2023,Heathrow Express,"37,166",79.7,90.7,99.4,"147,138",79.1,91.0,99.4
Apr to Jun 2023,Heathrow Express,"38,724",80.1,91.3,99.3,"147,879",78.8,90.7,99.3
Jul to Sep 2023,Heathrow Express,"38,791",75.6,89.0,98.9,"149,345",78.6,90.5,99.3
Oct to Dec 2023,Heathrow Express,"36,510",66.6,82.4,98.3,"151,191",75.6,88.4,99.0
Jan to Mar 2024,Heathrow Express,"37,342",72.1,87.6,98.9,"151,368",73.7,87.6,98.9
Apr to Jun 2024,Heathrow Express,"37,838",75.9,90.1,99.1,"150,482",72.6,87.3,98.8
Jul to Sep 2024,Heathrow Express,"38,835",75.7,89.6,99.1,"150,526",72.7,87.5,98.8
Oct to Dec 2024,Heathrow Express,"36,589",72.9,88.8,99.3,"150,606",74.2,89.0,99.1
Jan to Mar 2025,Heathrow Express,"38,130",71.9,87.8,99.1,"151,393",74.1,89.1,99.1
Apr to Jun 2025 [p],Heathrow Express,"38,469",76.3,90.8,99.4,"152,023",74.2,89.2,99.2
Jul to Sep 2025 [p],Heathrow Express,"40,508",76.0,90.3,99.2,"153,695",74.3,89.4,99.2
Apr to Jun 2014,Hull Trains,"8,004",53.2,73.8,96.2,"31,407",46.6,66.6,93.5
Jul to Sep 2014,Hull Trains,"7,959",56.6,74.1,95.2,"31,448",50.3,69.7,94.1
Oct to Dec 2014,Hull Trains,"7,835",48.8,68.0,94.5,"31,591",52.4,71.8,95.1
Jan to Mar 2015,Hull Trains,"7,811",58.8,78.9,96.8,"31,609",54.3,73.7,95.7
Apr to Jun 2015,Hull Trains,"8,220",57.7,77.5,96.5,"31,824",55.5,74.6,95.7
Jul to Sep 2015,Hull Trains,"8,317",55.3,76.3,95.4,"32,182",55.2,75.2,95.8
Oct to Dec 2015,Hull Trains,"7,973",41.1,63.7,94.0,"32,321",53.3,74.1,95.7
Jan to Mar 2016,Hull Trains,"8,025",48.8,71.0,94.4,"32,535",50.8,72.2,95.1
Apr to Jun 2016,Hull Trains,"8,263",48.3,72.0,94.3,"32,579",48.4,70.8,94.5
Jul to Sep 2016,Hull Trains,"8,332",42.4,65.6,94.2,"32,594",45.1,68.1,94.2
Oct to Dec 2016,Hull Trains,"8,069",40.2,63.0,93.2,"32,689",44.9,67.9,94.1
Jan to Mar 2017,Hull Trains,"7,972",45.3,68.8,93.7,"32,636",44.0,67.4,93.9
Apr to Jun 2017,Hull Trains,"8,285",42.8,68.3,94.5,"32,658",42.7,66.4,93.9
Jul to Sep 2017,Hull Trains,"8,466",39.2,64.8,95.0,"32,792",41.8,66.2,94.1
Oct to Dec 2017,Hull Trains,"7,788",38.5,62.2,92.6,"32,510",41.5,66.0,94.0
Jan to Mar 2018,Hull Trains,"6,648",33.6,53.9,89.0,"31,187",38.8,62.7,93.0
Apr to Jun 2018,Hull Trains,"7,658",38.8,60.5,92.8,"30,560",37.7,60.7,92.5
Jul to Sep 2018,Hull Trains,"7,925",32.5,54.2,91.5,"30,019",35.9,57.8,91.6
Oct to Dec 2018,Hull Trains,"6,064",29.2,50.4,90.0,"28,295",33.8,55.0,90.9
Jan to Mar 2019,Hull Trains,"8,925",38.1,61.1,92.4,"30,572",35.1,57.0,91.8
Apr to Jun 2019,Hull Trains,"8,998",44.4,69.5,94.0,"31,912",36.8,59.7,92.2
Jul to Sep 2019,Hull Trains,"8,787",42.8,66.0,92.6,"32,774",39.4,62.7,92.4
Oct to Dec 2019,Hull Trains,"9,307",35.2,56.8,91.4,"36,017",40.1,63.3,92.6
Jan to Mar 2020,Hull Trains [note 2],"8,228",44.6,68.7,94.6,"35,319",41.6,65.1,93.1
Apr to Jun 2020,Hull Trains [note 2],0,0.0,0.0,0.0,"26,321",40.7,63.6,92.8
Jul to Sep 2020,Hull Trains [note 2],"1,411",52.6,77.0,93.5,"18,945",40.6,63.5,92.9
Oct to Dec 2020,Hull Trains [note 2],"2,431",57.7,81.8,97.4,"12,069",48.2,72.3,95.0
Jan to Mar 2021,Hull Trains [note 2],330,64.0,86.8,98.6,"4,172",56.5,80.6,96.2
Apr to Jun 2021,Hull Trains [note 2],"4,942",70.7,86.9,97.3,"9,114",64.2,84.0,96.8
Jul to Sep 2021,Hull Trains,"8,663",66.3,83.8,96.0,"16,367",66.3,84.5,96.7
Oct to Dec 2021,Hull Trains,"8,389",48.8,71.0,95.0,"22,325",60.7,79.7,95.9
Jan to Mar 2022,Hull Trains,"8,095",58.6,79.1,95.0,"30,090",60.1,79.5,95.7
Apr to Jun 2022,Hull Trains,"9,398",64.2,83.6,97.1,"34,546",59.7,79.6,95.8
Jul to Sep 2022,Hull Trains,"8,872",53.1,75.2,93.9,"34,754",56.4,77.4,95.3
Oct to Dec 2022,Hull Trains,"8,951",40.7,64.1,93.6,"35,316",54.2,75.5,94.9
Jan to Mar 2023,Hull Trains,"9,644",53.7,76.2,95.9,"36,864",53.1,74.9,95.2
Apr to Jun 2023,Hull Trains,"9,898",53.5,74.9,94.1,"37,364",50.4,72.7,94.4
Jul to Sep 2023,Hull Trains,"10,194",55.9,76.4,94.9,"38,686",51.2,73.1,94.6
Oct to Dec 2023,Hull Trains,"9,758",42.9,64.9,92.4,"39,493",51.5,73.2,94.3
Jan to Mar 2024,Hull Trains,"9,360",48.8,71.3,94.1,"39,209",50.4,72.0,93.9
