"Table 3133: Train punctuality at recorded station stops by operator, Great Britain, quarterly data, April 2014 to September 2025",,,,,,,,,
This worksheet contains one table.,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,
"Some shorthand is used in this table, [z] = not applicable, [p] = provisional data",,,,,,,,,
Time period,National or Operator,"Number of recorded
station stops",Trains arriving within 59 seconds (percentage),"Trains arriving within 3 minutes 
(percentage)",Trains arriving within 15 minutes (percentage),"Moving annual total number of recorded
station stops",Moving annual average of trains arriving within 59 seconds  (percentage),Moving annual average of trains arriving within 3 minutes (percentage),Moving annual average of trains arriving within 15 minutes (percentage)
Jan to Mar 2022,Scotland,"1,806,867",72.1,90.5,99.5,"7,262,050",71.2,90.0,99.5
Apr to Jun 2022,Scotland,"1,590,192",74.0,91.5,99.5,"7,110,760",70.4,89.5,99.4
Jul to Sep 2022,Scotland,"1,821,761",70.5,89.5,99.4,"7,082,082",69.7,89.1,99.4
Oct to Dec 2022,Scotland,"1,709,129",62.4,84.4,99.0,"6,927,950",69.7,89.0,99.3
Jan to Mar 2023,Scotland,"1,938,234",70.3,89.8,99.5,"7,059,317",69.3,88.8,99.4
Apr to Jun 2023,Scotland,"2,028,333",73.7,91.3,99.5,"7,497,458",69.5,88.9,99.4
Jul to Sep 2023,Scotland,"2,033,099",72.1,90.5,99.5,"7,708,795",69.9,89.2,99.4
Oct to Dec 2023,Scotland,"1,943,813",62.9,84.9,99.0,"7,943,479",69.8,89.2,99.4
Jan to Mar 2024,Scotland,"1,968,376",70.2,89.6,99.5,"7,973,620",69.8,89.1,99.4
Apr to Jun 2024,Scotland,"2,062,761",72.3,90.6,99.5,"8,008,048",69.4,89.0,99.4
Jul to Sep 2024,Scotland,"1,706,495",70.2,89.6,99.5,"7,681,444",68.9,88.7,99.4
Oct to Dec 2024,Scotland,"2,027,605",62.5,84.6,99.1,"7,765,236",68.7,88.6,99.4
Jan to Mar 2025,Scotland,"2,041,789",71.8,90.5,99.6,"7,838,650",69.2,88.8,99.4
Apr to Jun 2025 [p],Scotland,"2,191,913",73.1,90.9,99.5,"7,967,802",69.5,88.9,99.4
Jul to Sep 2025 [p],Scotland,"2,187,420",69.8,88.7,99.2,"8,448,727",69.4,88.7,99.3
Apr to Jun 2014,Avanti West Coast,"170,280",47.6,69.3,94.5,"686,491",48.1,69.3,94.4
Jul to Sep 2014,Avanti West Coast,"173,128",47.4,69.2,94.2,"682,943",47.7,69.0,94.1
Oct to Dec 2014,Avanti West Coast,"169,875",42.1,63.4,92.8,"682,284",47.0,68.5,94.0
Jan to Mar 2015,Avanti West Coast,"171,255",49.4,69.7,93.8,"684,538",46.6,67.9,93.8
Apr to Jun 2015,Avanti West Coast,"168,624",50.5,71.5,94.8,"682,882",47.3,68.4,93.9
Jul to Sep 2015,Avanti West Coast,"176,433",51.7,72.3,95.2,"686,187",48.5,69.2,94.2
Oct to Dec 2015,Avanti West Coast,"171,316",42.7,62.9,91.8,"687,628",48.6,69.1,93.9
Jan to Mar 2016,Avanti West Coast,"167,445",49.7,69.8,94.6,"683,818",48.7,69.1,94.1
Apr to Jun 2016,Avanti West Coast,"171,530",53.7,73.8,95.4,"686,723",49.5,69.7,94.3
Jul to Sep 2016,Avanti West Coast,"178,433",53.3,73.8,95.7,"688,723",49.9,70.1,94.4
Oct to Dec 2016,Avanti West Coast,"175,060",47.4,68.9,94.6,"692,467",51.0,71.6,95.1
Jan to Mar 2017,Avanti West Coast,"171,736",54.9,76.4,96.0,"696,758",52.3,73.2,95.4
Apr to Jun 2017,Avanti West Coast,"171,246",55.8,76.2,96.0,"696,474",52.8,73.8,95.6
Jul to Sep 2017,Avanti West Coast,"175,936",53.6,75.4,95.8,"693,978",52.9,74.2,95.6
Oct to Dec 2017,Avanti West Coast,"170,535",41.4,62.3,91.2,"689,452",51.5,72.6,94.8
Jan to Mar 2018,Avanti West Coast,"168,993",47.3,68.4,93.1,"686,710",49.6,70.6,94.1
Apr to Jun 2018,Avanti West Coast,"172,246",48.9,69.8,94.6,"687,710",47.9,69.0,93.7
Jul to Sep 2018,Avanti West Coast,"176,924",44.1,64.9,92.4,"688,698",45.4,66.4,92.8
Oct to Dec 2018,Avanti West Coast,"176,841",43.6,65.0,94.1,"695,004",45.9,67.0,93.5
Jan to Mar 2019,Avanti West Coast,"176,011",50.1,71.6,94.6,"702,022",46.7,67.8,93.9
Apr to Jun 2019,Avanti West Coast,"172,519",44.4,66.2,93.9,"702,295",45.5,66.9,93.7
Jul to Sep 2019,Avanti West Coast,"176,771",38.9,60.4,91.4,"702,142",44.2,65.8,93.5
Oct to Dec 2019,Avanti West Coast,"175,474",34.7,55.2,90.5,"700,774",42.0,63.3,92.6
Jan to Mar 2020,Avanti West Coast,"166,565",40.4,61.3,92.5,"691,328",39.6,60.7,92.1
