Time_Period,Operator,Punctuality_Score,Year,Cancellation_Rate
Jul to Sep 2021,ScotRail,91.2,2021,2.7
Oct to Dec 2021,ScotRail,85.4,2021,3.6
Jan to Mar 2022,ScotRail,90.5,2022,2.9
Apr to Jun 2022,ScotRail,91.6,2022,2.5
Jul to Sep 2022,ScotRail,89.5,2022,2.3
Oct to Dec 2022,ScotRail,84.5,2022,4.7
Jan to Mar 2023,ScotRail,89.8,2023,2.2
Apr to Jun 2023,ScotRail,91.4,2023,2
Jul to Sep 2023,ScotRail,90.5,2023,2.1
Oct to Dec 2023,ScotRail,84.9,2023,3.2
Jan to Mar 2024,ScotRail,89.7,2024,2
Apr to Jun 2024,ScotRail,90.6,2024,1.8
Jul to Sep 2024,ScotRail,89.6,2024,1.9
Oct to Dec 2024,ScotRail,84.6,2024,2.7
Jan to Mar 2025,ScotRail,90.6,2025,1.9
Apr to Jun 2025 [p],ScotRail,90.9,2025,NA
Jul to Sep 2025 [p],ScotRail,88.8,2025,NA
Apr to Jun 2014,South Western Railway,90.8,2014,NA
Jul to Sep 2014,South Western Railway,89.8,2014,NA
Oct to Dec 2014,South Western Railway,83.4,2014,NA
Jan to Mar 2015,South Western Railway,87.4,2015,NA
Apr to Jun 2015,South Western Railway,91,2015,NA
Jul to Sep 2015,South Western Railway,89.6,2015,NA
Oct to Dec 2015,South Western Railway,83.1,2015,NA
Jan to Mar 2016,South Western Railway,86.1,2016,NA
Apr to Jun 2016,South Western Railway,88.1,2016,NA
Jul to Sep 2016,South Western Railway,85.4,2016,NA
Oct to Dec 2016,South Western Railway,78.8,2016,NA
Jan to Mar 2017,South Western Railway,84.8,2017,NA
Apr to Jun 2017,South Western Railway,87.8,2017,NA
Jul to Sep 2017,South Western Railway,81.7,2017,NA
Oct to Dec 2017,South Western Railway,80.8,2017,NA
Jan to Mar 2018,South Western Railway,80.4,2018,NA
Apr to Jun 2018,South Western Railway,85.6,2018,NA
Jul to Sep 2018,South Western Railway,78.6,2018,NA
Oct to Dec 2018,South Western Railway,73.6,2018,NA
Jan to Mar 2019,South Western Railway,82.6,2019,NA
Apr to Jun 2019,South Western Railway,85.4,2019,2.5
Jul to Sep 2019,South Western Railway,79.9,2019,3.4
Oct to Dec 2019,South Western Railway,73.5,2019,4.3
Jan to Mar 2020,South Western Railway,80.1,2020,5.1
Apr to Jun 2020,South Western Railway,96.8,2020,1.1
Jul to Sep 2020,South Western Railway,94.1,2020,1.8
Oct to Dec 2020,South Western Railway,91.7,2020,2.5
Jan to Mar 2021,South Western Railway,94.8,2021,1.8
Apr to Jun 2021,South Western Railway,92.8,2021,2.6
Jul to Sep 2021,South Western Railway,91.2,2021,2.2
Oct to Dec 2021,South Western Railway,87.4,2021,2.9
Jan to Mar 2022,South Western Railway,90.5,2022,3.5
Apr to Jun 2022,South Western Railway,89.6,2022,2.1
Jul to Sep 2022,South Western Railway,87.5,2022,2.5
Oct to Dec 2022,South Western Railway,80.7,2022,3.1
Jan to Mar 2023,South Western Railway,84.8,2023,3.2
Apr to Jun 2023,South Western Railway,88.9,2023,3.2
Jul to Sep 2023,South Western Railway,87.6,2023,2.2
Oct to Dec 2023,South Western Railway,78.8,2023,4.6
Jan to Mar 2024,South Western Railway,87,2024,3.3
Apr to Jun 2024,South Western Railway,87.8,2024,3.1
Jul to Sep 2024,South Western Railway,86.2,2024,3.7
Oct to Dec 2024,South Western Railway,76.7,2024,4.8
Jan to Mar 2025,South Western Railway,85.8,2025,3
Apr to Jun 2025 [p],South Western Railway,85.7,2025,NA
Jul to Sep 2025 [p],South Western Railway,84.2,2025,NA
Apr to Jun 2014,Southeastern,89.1,2014,NA
Jul to Sep 2014,Southeastern,89.8,2014,NA
Oct to Dec 2014,Southeastern,82.7,2014,NA
Jan to Mar 2015,Southeastern,89.5,2015,NA
Apr to Jun 2015,Southeastern,88.3,2015,NA
Jul to Sep 2015,Southeastern,86.6,2015,NA
Oct to Dec 2015,Southeastern,79.8,2015,NA
Jan to Mar 2016,Southeastern,82.8,2016,NA
Apr to Jun 2016,Southeastern,85.9,2016,NA
Jul to Sep 2016,Southeastern,85.1,2016,NA
Oct to Dec 2016,Southeastern,78.2,2016,NA
Jan to Mar 2017,Southeastern,83.5,2017,NA
Apr to Jun 2017,Southeastern,90.2,2017,NA
Jul to Sep 2017,Southeastern,87.9,2017,NA
Oct to Dec 2017,Southeastern,81.4,2017,NA
Jan to Mar 2018,Southeastern,82.8,2018,NA
Apr to Jun 2018,Southeastern,85.7,2018,NA
Jul to Sep 2018,Southeastern,87.6,2018,NA
Oct to Dec 2018,Southeastern,82.7,2018,NA
Jan to Mar 2019,Southeastern,85.9,2019,NA
Apr to Jun 2019,Southeastern,90.9,2019,1.9
Jul to Sep 2019,Southeastern,88.9,2019,2.1
Oct to Dec 2019,Southeastern,82.6,2019,2.9
Jan to Mar 2020,Southeastern,85.5,2020,2.9
Apr to Jun 2020,Southeastern,96.7,2020,1.1
Jul to Sep 2020,Southeastern,92.2,2020,1.7
Oct to Dec 2020,Southeastern,89.1,2020,1.9
Jan to Mar 2021,Southeastern,92.5,2021,2.3
Apr to Jun 2021,Southeastern,92.1,2021,1.5
Jul to Sep 2021,Southeastern,91.1,2021,1.9
Oct to Dec 2021,Southeastern,85.6,2021,2.4
Jan to Mar 2022,Southeastern,89.5,2022,3.1
Apr to Jun 2022,Southeastern,90.4,2022,1.8
Jul to Sep 2022,Southeastern,85.6,2022,2.4
Oct to Dec 2022,Southeastern,78.9,2022,3.9
Jan to Mar 2023,Southeastern,83.5,2023,3.2
Apr to Jun 2023,Southeastern,88.5,2023,1.7
Jul to Sep 2023,Southeastern,87.6,2023,1.8
Oct to Dec 2023,Southeastern,82.1,2023,2.7
Jan to Mar 2024,Southeastern,85.7,2024,2.2
Apr to Jun 2024,Southeastern,88.4,2024,1.6
Jul to Sep 2024,Southeastern,86.1,2024,2.4
Oct to Dec 2024,Southeastern,78.9,2024,3.3
Jan to Mar 2025,Southeastern,84.3,2025,2.4
Apr to Jun 2025 [p],Southeastern,87.3,2025,NA
Jul to Sep 2025 [p],Southeastern,85.9,2025,NA
Apr to Jun 2014,TfW Rail,81.6,2014,NA
Jul to Sep 2014,TfW Rail,79.5,2014,NA
Oct to Dec 2014,TfW Rail,77.7,2014,NA
Jan to Mar 2015,TfW Rail,85.8,2015,NA
Apr to Jun 2015,TfW Rail,85.5,2015,NA
Jul to Sep 2015,TfW Rail,82.7,2015,NA
Oct to Dec 2015,TfW Rail,78.4,2015,NA
Jan to Mar 2016,TfW Rail,83.7,2016,NA
Apr to Jun 2016,TfW Rail,83.7,2016,NA
Jul to Sep 2016,TfW Rail,80.7,2016,NA
Oct to Dec 2016,TfW Rail,76.1,2016,NA
Jan to Mar 2017,TfW Rail,85.5,2017,NA
Apr to Jun 2017,TfW Rail,85.2,2017,NA
Jul to Sep 2017,TfW Rail,83.4,2017,NA
Oct to Dec 2017,TfW Rail,78.8,2017,NA
Jan to Mar 2018,TfW Rail,86.4,2018,NA
Apr to Jun 2018,TfW Rail,83.7,2018,NA
Jul to Sep 2018,TfW Rail,80.8,2018,NA
Oct to Dec 2018,TfW Rail,78.1,2018,NA
Jan to Mar 2019,TfW Rail,85.8,2019,NA
Apr to Jun 2019,TfW Rail,83.8,2019,1.7
Jul to Sep 2019,TfW Rail,77.4,2019,2.5
Oct to Dec 2019,TfW Rail,73.3,2019,3.4
Jan to Mar 2020,TfW Rail,81.9,2020,3.5
Apr to Jun 2020,TfW Rail,94.6,2020,0.8
Jul to Sep 2020,TfW Rail,91.3,2020,1.7
Oct to Dec 2020,TfW Rail,90.8,2020,2.2
Jan to Mar 2021,TfW Rail,92.6,2021,2.3
Apr to Jun 2021,TfW Rail,90.5,2021,2
Jul to Sep 2021,TfW Rail,85.3,2021,2.5
Oct to Dec 2021,TfW Rail,75.9,2021,7
Jan to Mar 2022,TfW Rail,81.1,2022,4.1
Apr to Jun 2022,TfW Rail,79.8,2022,3.1
Jul to Sep 2022,TfW Rail,77.4,2022,3.8
Oct to Dec 2022,TfW Rail,74.3,2022,5.1
Jan to Mar 2023,TfW Rail,77.3,2023,5.8
Apr to Jun 2023,TfW Rail,74.4,2023,7.2
Jul to Sep 2023,TfW Rail,77.1,2023,4.5
Oct to Dec 2023,TfW Rail,73.4,2023,5.6
Jan to Mar 2024,TfW Rail,83.1,2024,3.3
Apr to Jun 2024,TfW Rail,82.2,2024,4.1
Jul to Sep 2024,TfW Rail,79.3,2024,5.2
Oct to Dec 2024,TfW Rail,76.1,2024,7.6
Jan to Mar 2025,TfW Rail,82.8,2025,4.5
Apr to Jun 2025 [p],TfW Rail,83.7,2025,NA
Jul to Sep 2025 [p],TfW Rail,84.1,2025,NA
Apr to Jun 2014,TransPennine Express,73.2,2014,NA
Jul to Sep 2014,TransPennine Express,67.1,2014,NA
Oct to Dec 2014,TransPennine Express,59.4,2014,NA
Jan to Mar 2015,TransPennine Express,72.5,2015,NA
Apr to Jun 2015,TransPennine Express,74.3,2015,NA
Jul to Sep 2015,TransPennine Express,70.8,2015,NA
Oct to Dec 2015,TransPennine Express,56.8,2015,NA
Jan to Mar 2016,TransPennine Express,70.8,2016,NA
Apr to Jun 2016,TransPennine Express,74.6,2016,NA
Jul to Sep 2016,TransPennine Express,73.4,2016,NA
Oct to Dec 2016,TransPennine Express,64,2016,NA
Jan to Mar 2017,TransPennine Express,74.8,2017,NA
Apr to Jun 2017,TransPennine Express,75.4,2017,NA
Jul to Sep 2017,TransPennine Express,74.2,2017,NA
Oct to Dec 2017,TransPennine Express,60.7,2017,NA
Jan to Mar 2018,TransPennine Express,68.9,2018,NA
Apr to Jun 2018,TransPennine Express,60.7,2018,NA
Jul to Sep 2018,TransPennine Express,53.9,2018,NA
Oct to Dec 2018,TransPennine Express,51.5,2018,NA
Jan to Mar 2019,TransPennine Express,66.4,2019,NA
Apr to Jun 2019,TransPennine Express,68.8,2019,3.6
Jul to Sep 2019,TransPennine Express,62.9,2019,6.5
Oct to Dec 2019,TransPennine Express,53.7,2019,12.8
Jan to Mar 2020,TransPennine Express,63,2020,8.5
Apr to Jun 2020,TransPennine Express,92.1,2020,1.7
Jul to Sep 2020,TransPennine Express,87.5,2020,1.7
Oct to Dec 2020,TransPennine Express,84.6,2020,2.2
Jan to Mar 2021,TransPennine Express,86.7,2021,3.3
Apr to Jun 2021,TransPennine Express,88.2,2021,1.5
Jul to Sep 2021,TransPennine Express,84.6,2021,1.8
Oct to Dec 2021,TransPennine Express,73.7,2021,3.7
Jan to Mar 2022,TransPennine Express,79.5,2022,5.2
Apr to Jun 2022,TransPennine Express,77.9,2022,5
Jul to Sep 2022,TransPennine Express,75.1,2022,6.3
Oct to Dec 2022,TransPennine Express,66.9,2022,7.6
Jan to Mar 2023,TransPennine Express,68.2,2023,7.5
Apr to Jun 2023,TransPennine Express,70.2,2023,5.4
Jul to Sep 2023,TransPennine Express,68.6,2023,4.9
Oct to Dec 2023,TransPennine Express,59.7,2023,5.9
Jan to Mar 2024,TransPennine Express,73,2024,3
Apr to Jun 2024,TransPennine Express,73.4,2024,3
Jul to Sep 2024,TransPennine Express,70,2024,4
Oct to Dec 2024,TransPennine Express,63.8,2024,5.4
Jan to Mar 2025,TransPennine Express,68.4,2025,4.2
Apr to Jun 2025 [p],TransPennine Express,70.1,2025,NA
Jul to Sep 2025 [p],TransPennine Express,68.7,2025,NA
Apr to Jun 2014,West Midlands Trains,85.2,2014,NA
Jul to Sep 2014,West Midlands Trains,83.4,2014,NA
Oct to Dec 2014,West Midlands Trains,76.5,2014,NA
Jan to Mar 2015,West Midlands Trains,83.5,2015,NA
Apr to Jun 2015,West Midlands Trains,84,2015,NA
Jul to Sep 2015,West Midlands Trains,83.7,2015,NA
Oct to Dec 2015,West Midlands Trains,77.6,2015,NA
Jan to Mar 2016,West Midlands Trains,84,2016,NA
Apr to Jun 2016,West Midlands Trains,85.4,2016,NA
Jul to Sep 2016,West Midlands Trains,84.2,2016,NA
Oct to Dec 2016,West Midlands Trains,78.3,2016,NA
Jan to Mar 2017,West Midlands Trains,84.1,2017,NA
Apr to Jun 2017,West Midlands Trains,86.4,2017,NA
Jul to Sep 2017,West Midlands Trains,85.2,2017,NA
Oct to Dec 2017,West Midlands Trains,76,2017,NA
Jan to Mar 2018,West Midlands Trains,80.2,2018,NA
Apr to Jun 2018,West Midlands Trains,82.3,2018,NA
Jul to Sep 2018,West Midlands Trains,81.4,2018,NA
Oct to Dec 2018,West Midlands Trains,76.6,2018,NA
Jan to Mar 2019,West Midlands Trains,84.4,2019,NA
Apr to Jun 2019,West Midlands Trains,81,2019,2.5
Jul to Sep 2019,West Midlands Trains,75,2019,4.8
Oct to Dec 2019,West Midlands Trains,67.1,2019,7.7
Jan to Mar 2020,West Midlands Trains,76.4,2020,5.6
Apr to Jun 2020,West Midlands Trains,93.4,2020,1.1
Jul to Sep 2020,West Midlands Trains,89.7,2020,2.3
Oct to Dec 2020,West Midlands Trains,87.5,2020,2.8
Jan to Mar 2021,West Midlands Trains,92,2021,2.5
Apr to Jun 2021,West Midlands Trains,88.9,2021,3.7
Jul to Sep 2021,West Midlands Trains,85.5,2021,5.2
Oct to Dec 2021,West Midlands Trains,79.4,2021,5.8
Jan to Mar 2022,West Midlands Trains,84.7,2022,4.2
Apr to Jun 2022,West Midlands Trains,83.4,2022,4.4
Jul to Sep 2022,West Midlands Trains,77.7,2022,4.8
Oct to Dec 2022,West Midlands Trains,73.4,2022,5.1
Jan to Mar 2023,West Midlands Trains,81.4,2023,2.8
Apr to Jun 2023,West Midlands Trains,82.4,2023,3.8
Jul to Sep 2023,West Midlands Trains,82.4,2023,4.4
Oct to Dec 2023,West Midlands Trains,77.7,2023,5.6
Jan to Mar 2024,West Midlands Trains,84.1,2024,3.4
Apr to Jun 2024,West Midlands Trains,83.8,2024,4.4
Jul to Sep 2024,West Midlands Trains,82.4,2024,5.6
Oct to Dec 2024,West Midlands Trains,77.7,2024,6.4
Jan to Mar 2025,West Midlands Trains,86.2,2025,3
Apr to Jun 2025 [p],West Midlands Trains,85,2025,NA
Jul to Sep 2025 [p],West Midlands Trains,83.4,2025,NA
