Time_Period,Operator,Punctuality_Score,Year,Cancellation_Rate
Jul to Sep 2016,CrossCountry,73.7,2016,NA
Oct to Dec 2016,CrossCountry,67.2,2016,NA
Jan to Mar 2017,CrossCountry,77.1,2017,NA
Apr to Jun 2017,CrossCountry,76,2017,NA
Jul to Sep 2017,CrossCountry,74,2017,NA
Oct to Dec 2017,CrossCountry,63.4,2017,NA
Jan to Mar 2018,CrossCountry,71.2,2018,NA
Apr to Jun 2018,CrossCountry,69.1,2018,NA
Jul to Sep 2018,CrossCountry,64.9,2018,NA
Oct to Dec 2018,CrossCountry,64.6,2018,NA
Jan to Mar 2019,CrossCountry,75.9,2019,NA
Apr to Jun 2019,CrossCountry,74.1,2019,2.2
Jul to Sep 2019,CrossCountry,68.8,2019,3.6
Oct to Dec 2019,CrossCountry,62.3,2019,4.9
Jan to Mar 2020,CrossCountry,70.6,2020,3.5
Apr to Jun 2020,CrossCountry,91.9,2020,0.9
Jul to Sep 2020,CrossCountry,85.7,2020,1.4
Oct to Dec 2020,CrossCountry,81.6,2020,1.6
Jan to Mar 2021,CrossCountry,86.2,2021,2.5
Apr to Jun 2021,CrossCountry,84.5,2021,2.7
Jul to Sep 2021,CrossCountry,80.1,2021,2.4
Oct to Dec 2021,CrossCountry,73.7,2021,3.1
Jan to Mar 2022,CrossCountry,80.1,2022,2.9
Apr to Jun 2022,CrossCountry,77.8,2022,4.6
Jul to Sep 2022,CrossCountry,67.6,2022,6.6
Oct to Dec 2022,CrossCountry,65,2022,10.3
Jan to Mar 2023,CrossCountry,73.7,2023,4.6
Apr to Jun 2023,CrossCountry,70.3,2023,6.7
Jul to Sep 2023,CrossCountry,69.4,2023,7.5
Oct to Dec 2023,CrossCountry,61,2023,12.3
Jan to Mar 2024,CrossCountry,70.9,2024,7
Apr to Jun 2024,CrossCountry,72.6,2024,6.6
Jul to Sep 2024,CrossCountry,68,2024,5.8
Oct to Dec 2024,CrossCountry,61.9,2024,10.1
Jan to Mar 2025,CrossCountry,74.3,2025,5.3
Apr to Jun 2025 [p],CrossCountry,70.7,2025,NA
Jul to Sep 2025 [p],CrossCountry,67.6,2025,NA
Apr to Jun 2014,East Midlands Railway,81.9,2014,NA
Jul to Sep 2014,East Midlands Railway,82.4,2014,NA
Oct to Dec 2014,East Midlands Railway,76.3,2014,NA
Jan to Mar 2015,East Midlands Railway,83.8,2015,NA
Apr to Jun 2015,East Midlands Railway,86.8,2015,NA
Jul to Sep 2015,East Midlands Railway,84.1,2015,NA
Oct to Dec 2015,East Midlands Railway,76.5,2015,NA
Jan to Mar 2016,East Midlands Railway,84.1,2016,NA
Apr to Jun 2016,East Midlands Railway,84.5,2016,NA
Jul to Sep 2016,East Midlands Railway,82,2016,NA
Oct to Dec 2016,East Midlands Railway,75.3,2016,NA
Jan to Mar 2017,East Midlands Railway,84.9,2017,NA
Apr to Jun 2017,East Midlands Railway,84.6,2017,NA
Jul to Sep 2017,East Midlands Railway,83.7,2017,NA
Oct to Dec 2017,East Midlands Railway,74.6,2017,NA
Jan to Mar 2018,East Midlands Railway,79.3,2018,NA
Apr to Jun 2018,East Midlands Railway,80.4,2018,NA
Jul to Sep 2018,East Midlands Railway,76.3,2018,NA
Oct to Dec 2018,East Midlands Railway,71.2,2018,NA
Jan to Mar 2019,East Midlands Railway,80.9,2019,NA
Apr to Jun 2019,East Midlands Railway,81.6,2019,1.2
Jul to Sep 2019,East Midlands Railway,78.3,2019,1.8
Oct to Dec 2019,East Midlands Railway,69.7,2019,2.2
Jan to Mar 2020,East Midlands Railway,78.8,2020,1.7
Apr to Jun 2020,East Midlands Railway,93.3,2020,1.1
Jul to Sep 2020,East Midlands Railway,89.4,2020,1.2
Oct to Dec 2020,East Midlands Railway,85.8,2020,2.4
Jan to Mar 2021,East Midlands Railway,89.1,2021,1.8
Apr to Jun 2021,East Midlands Railway,83.6,2021,2.4
Jul to Sep 2021,East Midlands Railway,78.2,2021,2.8
Oct to Dec 2021,East Midlands Railway,71.8,2021,3.3
Jan to Mar 2022,East Midlands Railway,79.1,2022,2.9
Apr to Jun 2022,East Midlands Railway,78.3,2022,2.6
Jul to Sep 2022,East Midlands Railway,72.4,2022,3.6
Oct to Dec 2022,East Midlands Railway,68.8,2022,3.3
Jan to Mar 2023,East Midlands Railway,77.4,2023,2.2
Apr to Jun 2023,East Midlands Railway,75.7,2023,2.3
Jul to Sep 2023,East Midlands Railway,75.8,2023,2.5
Oct to Dec 2023,East Midlands Railway,66.3,2023,5.7
Jan to Mar 2024,East Midlands Railway,75.1,2024,2.9
Apr to Jun 2024,East Midlands Railway,77.2,2024,2.6
Jul to Sep 2024,East Midlands Railway,74,2024,3.7
Oct to Dec 2024,East Midlands Railway,70.9,2024,4.7
Jan to Mar 2025,East Midlands Railway,78.1,2025,3.3
Apr to Jun 2025 [p],East Midlands Railway,77.6,2025,NA
Jul to Sep 2025 [p],East Midlands Railway,75.4,2025,NA
Apr to Jun 2014,Elizabeth line,90.8,2014,NA
Jul to Sep 2014,Elizabeth line,89.5,2014,NA
Oct to Dec 2014,Elizabeth line,87,2014,NA
Jan to Mar 2015,Elizabeth line,89.7,2015,NA
Apr to Jun 2015,Elizabeth line,89.8,2015,NA
Jul to Sep 2015,Elizabeth line,92.4,2015,NA
Oct to Dec 2015,Elizabeth line,89.9,2015,NA
Jan to Mar 2016,Elizabeth line,91.4,2016,NA
Apr to Jun 2016,Elizabeth line,92.4,2016,NA
Jul to Sep 2016,Elizabeth line,91,2016,NA
Oct to Dec 2016,Elizabeth line,87.7,2016,NA
Jan to Mar 2017,Elizabeth line,91.2,2017,NA
Apr to Jun 2017,Elizabeth line,90.6,2017,NA
Jul to Sep 2017,Elizabeth line,90.6,2017,NA
Oct to Dec 2017,Elizabeth line,85.1,2017,NA
Jan to Mar 2018,Elizabeth line,88.7,2018,NA
Apr to Jun 2018,Elizabeth line,93,2018,NA
Jul to Sep 2018,Elizabeth line,92.1,2018,NA
Oct to Dec 2018,Elizabeth line,90.3,2018,NA
Jan to Mar 2019,Elizabeth line,93.2,2019,NA
Apr to Jun 2019,Elizabeth line,94.9,2019,1.3
Jul to Sep 2019,Elizabeth line,93.9,2019,1.5
Oct to Dec 2019,Elizabeth line,92.2,2019,1.6
Jan to Mar 2020,Elizabeth line,91.5,2020,1.8
Apr to Jun 2020,Elizabeth line,97.6,2020,1.3
Jul to Sep 2020,Elizabeth line,96.6,2020,1.4
Oct to Dec 2020,Elizabeth line,95.4,2020,2.2
Jan to Mar 2021,Elizabeth line,95.8,2021,1.8
Apr to Jun 2021,Elizabeth line,95.6,2021,2.1
Jul to Sep 2021,Elizabeth line,95.6,2021,1.9
Oct to Dec 2021,Elizabeth line,92.8,2021,2.5
Jan to Mar 2022,Elizabeth line,93.4,2022,2.4
Apr to Jun 2022,Elizabeth line [note 4],95.3,2022,NA
Jul to Sep 2022,Elizabeth line,94.6,2022,1.9
Oct to Dec 2022,Elizabeth line,92.4,2022,2.8
Jan to Mar 2023,Elizabeth line,93,2023,3.1
Apr to Jun 2023,Elizabeth line,90.8,2023,3.7
Jul to Sep 2023,Elizabeth line,91.4,2023,5.2
Oct to Dec 2023,Elizabeth line,87.4,2023,4.4
Jan to Mar 2024,Elizabeth line,91.7,2024,3.2
Apr to Jun 2024,Elizabeth line,92.4,2024,2.7
Jul to Sep 2024,Elizabeth line,91.4,2024,4.2
Oct to Dec 2024,Elizabeth line,90.5,2024,3.7
Jan to Mar 2025,Elizabeth line,88.4,2025,5
Apr to Jun 2025 [p],Elizabeth line,92,2025,NA
Jul to Sep 2025 [p],Elizabeth line,90.6,2025,NA
Apr to Jun 2014,Govia Thameslink Railway,86.3,2014,NA
Jul to Sep 2014,Govia Thameslink Railway,86,2014,NA
Oct to Dec 2014,Govia Thameslink Railway,78,2014,NA
Jan to Mar 2015,Govia Thameslink Railway,80,2015,NA
Apr to Jun 2015,Govia Thameslink Railway,85.1,2015,NA
Jul to Sep 2015,Govia Thameslink Railway,82.7,2015,NA
